"Date"	"Year"	"Month"	"Day"	"Churanov"	"Klatovy"	"Lenora"	"Husinec"	"Karlovy_Vary"	"Bedrichov"	"Desna"	"Harrachov"	"Rokytnice_Orl"	"Sumperk"	"Svetla_hora"	"Mesto_Albrechtice"	"Cervena"	"Lysa_hora"	"Vsetin"	"Frenstat"	"Jablunkov"
19800101	1980	1	1	0	107056.229763633	36892.6701688392	117047.149123116	123931.238915005	9590.46185341466	0	16035.6927098122	90927.1860480555	30753.8092704677	47620.6353731775	111218.973154116	31199.446204478	0	121775.692005948	112937.220948099	123067.586180713
19800102	1980	1	2	0	68244.9400440926	0	55216.5527255868	91059.3617860696	0	0	0	20344.6147445671	72244.9891763627	20547.631920451	47507.1836137946	0	0	79308.8628297097	92366.2606006965	74328.7512367709
19800103	1980	1	3	0	0	0	0	0	0	0	0	0	3465.33235622228	0	0	0	0	0	0	0
19800104	1980	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19800105	1980	1	5	135278.585492292	157959.42875777	136608.377253872	154283.522545939	86336.614975503	0	0	0	0	0	0	0	0	0	0	0	0
19800106	1980	1	6	75779.2686786972	244504.05661679	160689.533335387	212477.627455919	139373.10612262	66613.8672425435	43400.2694146401	56798.3451118466	0	0	0	45568.0000543673	0	0	0	0	14608.0153911545
19800107	1980	1	7	57332.3087194039	224262.072879638	131211.854225107	164579.905601966	161788.614520438	60539.2378307321	67421.8295640599	67473.8438125833	3535.4577549858	32267.0612765457	0	102604.176355026	0	0	63764.9929234055	44378.3180157245	58960.5652510546
19800108	1980	1	8	0	166001.408327473	35049.335864838	96565.0650779516	166940.021533904	30580.5331414606	13622.5978839949	17041.2708029421	0	65161.6834789477	0	0	0	0	0	7466.40592978358	0
19800109	1980	1	9	0	57146.7331183562	0	0	122013.912594395	0	0	0	0	43883.01662002	0	0	0	0	7645.98987450902	0	0
19800110	1980	1	10	0	26941.3958902797	0	0	39900.6646992799	0	3480.62323985667	0	0	0	0	0	0	0	0	0	0
19800111	1980	1	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
